var_from,var_to,corr
Alcohol (gm),Alpha-carotene (mcg),0.0639
Added alpha-tocopherol (Vitamin E) (mg),Alpha-carotene (mcg),0.0516
Total protein (g/L),Alpha-carotene (mcg),0.0891
Lutein + zeaxanthin (mcg),Alpha-carotene (mcg),0.4685
Riboflavin (Vitamin B2) (mg),Alpha-carotene (mcg),0.1618
Vitamin E as alpha-tocopherol (mg),Alpha-carotene (mcg),0.1746
Bicarbonate (mmol/L),Alpha-carotene (mcg),0.0252
Added vitamin B12 (mcg),Alpha-carotene (mcg),0.0779
PFA 18:4 (Octadecatetraenoic) (gm),Alpha-carotene (mcg),-0.0666
Total folate (mcg),Alpha-carotene (mcg),0.1761
Red blood cell count (million cells/uL),Alpha-carotene (mcg),0.0671
Uric acid (umol/L),Alpha-carotene (mcg),-0.0069
Beta-carotene (mcg),Alpha-carotene (mcg),0.3932
Vitamin B6 (mg),Alpha-carotene (mcg),0.2416
Theobromine (mg),Alpha-carotene (mcg),0.0247
Niacin (mg),Alpha-carotene (mcg),0.1426
Iron (mg),Alpha-carotene (mcg),0.1232
Basophils number (1000 cells/uL),Alpha-carotene (mcg),-0.0428
Caffeine (mg),Alpha-carotene (mcg),-0.0693
Lactate dehydrogenase (U/L),Alpha-carotene (mcg),-0.0264
Creatinine (umol/L),Alpha-carotene (mcg),0.0131
Hemoglobin (g/dL),Alpha-carotene (mcg),0.0444
Segmented neutrophils percent (%),Alpha-carotene (mcg),-0.0281
Alanine aminotransferase ALT (U/L),Alpha-carotene (mcg),0.0403
Total bilirubin (umol/L),Alpha-carotene (mcg),-0.0182
"Albumin, urine (mg/L)",Alpha-carotene (mcg),-0.076
Calcium (mg),Alpha-carotene (mcg),0.128
Monocyte percent (%),Alpha-carotene (mcg),0.0321
Vitamin B12 (mcg),Alpha-carotene (mcg),0.0913
Eosinophils percent (%),Alpha-carotene (mcg),-1e-04
Glycohemoglobin (%),Alpha-carotene (mcg),0.0333
Sodium (mg),Alpha-carotene (mcg),0.1544
Carbohydrate (gm),Alpha-carotene (mcg),0.1025
Platelet count (1000 cells/uL),Alpha-carotene (mcg),-0.1057
Energy (kcal),Alpha-carotene (mcg),0.1152
Segmented neutrophils num (1000 cell/uL),Alpha-carotene (mcg),-0.0319
Folic acid (mcg),Alpha-carotene (mcg),0.0257
Retinol (mcg),Alpha-carotene (mcg),0.0489
Cholesterol (mg),Alpha-carotene (mcg),0.0744
Protein (gm),Alpha-carotene (mcg),0.1216
Total sugars (gm),Alpha-carotene (mcg),0.0596
MFA 22:1 (Docosenoic) (gm),Alpha-carotene (mcg),-0.0201
Osmolality (mmol/Kg),Alpha-carotene (mcg),-3e-04
Blood urea nitrogen (mmol/L),Alpha-carotene (mcg),0.0582
Gamma glutamyl transferase (U/L),Alpha-carotene (mcg),-0.0063
Mean cell volume (fL),Alpha-carotene (mcg),-0.0073
Total saturated fatty acids (gm),Alpha-carotene (mcg),0.0775
Copper (mg),Alpha-carotene (mcg),0.2198
PFA 18:2 (Octadecadienoic) (gm),Alpha-carotene (mcg),0.1398
SFA 12:0 (Dodecanoic) (gm),Alpha-carotene (mcg),0.0597
"Glucose, refrigerated serum (mmol/L)",Alpha-carotene (mcg),-0.0689
Phosphorus (mg),Alpha-carotene (mcg),0.1372
Food folate (mcg),Alpha-carotene (mcg),0.2838
